date,city,substance,units,items
202103,London,Colecalciferol,500,2.0
202103,London,Colecalciferol,5000,406.0
202103,London,Colecalciferol,50000,54.0
202103,London,Colecalciferol,5600,14.0
202103,London,Colecalciferol,600,50.0
202103,London,Colecalciferol,800,23771.0
202103,London,Colecalciferol,880,2146.0
202103,London,Colecalciferol,unknown,41374.0
202103,Manchester,Colecalciferol,1000,433.0
202103,Manchester,Colecalciferol,10000,34.0
202103,Manchester,Colecalciferol,200,3699.0
202103,Manchester,Colecalciferol,2000,39.0
202103,Manchester,Colecalciferol,20000,1793.0
202103,Manchester,Colecalciferol,2200,1.0
202103,Manchester,Colecalciferol,2400,2.0
202103,Manchester,Colecalciferol,25000,87.0
202103,Manchester,Colecalciferol,2740,16.0
202103,Manchester,Colecalciferol,3000,3.0
202103,Manchester,Colecalciferol,3200,59.0
202103,Manchester,Colecalciferol,400,2773.0
202103,Manchester,Colecalciferol,4000,33.0
202103,Manchester,Colecalciferol,40000,19.0
202103,Manchester,Colecalciferol,440,13.0
202103,Manchester,Colecalciferol,5000,7.0
202103,Manchester,Colecalciferol,50000,48.0
202103,Manchester,Colecalciferol,5600,7.0
202103,Manchester,Colecalciferol,600,3.0
202103,Manchester,Colecalciferol,800,1913.0
202103,Manchester,Colecalciferol,880,462.0
202103,Manchester,Colecalciferol,unknown,5766.0
202103,Middlesbrough,Colecalciferol,1000,41.0
202103,Middlesbrough,Colecalciferol,10000,2.0
202103,Middlesbrough,Colecalciferol,200,58.0
202103,Middlesbrough,Colecalciferol,2000,5.0
202103,Middlesbrough,Colecalciferol,20000,15.0
202103,Middlesbrough,Colecalciferol,3200,4.0
